Apartment Name,Company,Location,Price,MinPrice,MaxPrice,Size,Bedrooms,MinBR,MaxBR,Description,Bathrooms,Number,Distance to Grounds,Image
1300 Wertland St,---,"1300 Wertland St, Charlottesville, VA 22903",$825,825,825,--- Sqrt ft.,1,1,1,"1 Bedroom - UVA Corner- Parking Available! - One bedroom apartment on the UVA corner. This building features hardwood floors, laundry room and off street parking available at an additional cost per month. Water, sewer and trash included in the rental price.",1 - 5,(434) 422-4659,0.7 miles from Grounds,//d2wa2tyobqx1pp.cloudfront.net/d6c3a31ec3be750566e028323de059e5/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/72332776.jpg
Beacon on 5th,---,"100 Dalton Lane, Charlottesville, VA 22903","$1,309 - 2,299",1309,2299,"675 - 1,733 Sqrt ft.",1 - 3,1,3,"Beacon on 5th apartments are perfectly located for immediate access to the best Charlottesville has to offer, including The University of Virginia, a brand new Wegman\'s, the Rivanna Trails and other parks and recreational opportunities. Our residents enjoy a unique balance of urban living in a picturesque setting with breathtaking views of the Blue Ridge foothills and the vibrant culture of Charlottesville, complete with art venues, entertainment excursions, textbook historical locations, and recreational opportunities for every age and taste.",1 - 5,---,1.4 miles from Grounds,https://collegestudentapartments.com/img/no-image-main2.jpg
116 Howard Drive,---,"116 Howard Drive, Charlottesville, VA 22903",$750 - 845,750,845,350 - 802 Sqrt ft.,1,1,1,"116 Howard Drive #2 - 1 bedroom, 1 bath basement apartment off Barracks Road.  Convenient to UVA, Rugby Rd and within walking distance to Barracks Road Shopping Center.  No pets, non-negtiable.  Water/sewer and gas included in the rent.  No smoking, no undergrads.",1 - 5,(434) 817-1676,---,//d2ov68p9vqf0gt.cloudfront.net/9a6d311466cbebf16e55220d4bb7e24a/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/71981501.jpg
200 Stribling Ave,---,"200 Stribling Ave, Charlottesville, VA 22903","$1,325",1325,1325,"1,896 Sqrt ft.",3,3,3,Close Proximity to UVA and Fontaine Research Park! - AVAILABLE JUNE 24th,2 - 5,(434) 973-3003,---,//d1d20t9fkd7io6.cloudfront.net/777beec9f288df13652a1f48136639c1/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/72918407.jpg
The Standard Charlottesville,---,"901 W Main St, Charlottesville, VA 22903","$799 - 1,650",799,1650,"524 - 1,455 Sqrt ft.",1 - 4,1,4,"The Standard in Charlottesville combines student-focused amenities with stylish, comfortable apartments to create off grounds student housing near UVA perfect for your college experience. Once you decide to make The Standard your new home, you can enjoy a quiet night in watching your favorite show on your flat screen TV, cook comfortably in your gourmet kitchen or even host a poker tournament in the clubhouse! Our prime location is only a short walk from UVA, allowing for a quick commute and a student-oriented, exciting atmosphere!",1 - 4,(877) 714-3287,---,https://collegestudentapartments.com/img/no-image-main2.jpg
10 University Circle,---,"10 University Circle, Charlottesville, VA 22903","$1,250",1250,1250,883 Sqrt ft.,1,1,1,Raleigh Ct - Apt 19 - Ting gigabit fiber internet is included with your monthly utility fee! ,1 - 5,(434) 977-9000,0.6 miles from Grounds,//dihmh4v20db76.cloudfront.net/7034a55d976d274b23896488b344e35f/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/72269166.jpg
205 W High St,---,"205 W High St, Charlottesville, VA 22902","$1,150",1150,1150,--- Sqrt ft.,1,1,1,"205 West High St, Apt 6 - Wonderful historic apartment building just 2 blocks from the Downtown mall.",1 - 5,(434) 422-4659,1.5 miles from Grounds,//dihmh4v20db76.cloudfront.net/33e6a4e8012255c7d2aef1381174d771/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/71991433.jpg
121 Middlesex Drive,---,"121 Middlesex Drive, Charlottesville, VA 22901","$1,200",1200,1200,"1,333 Sqrt ft.",3,3,3,"121 Middlesex Drive - Centrally located duplex with hardwood floors.  Unfinished walk out basement, great for storage.  Situated at the end of a cul-de-sac with close access to 250 bypass and Barracks Road shopping.  New paint.",1 - 5,(434) 817-1685,1.3 miles from Grounds,//dihmh4v20db76.cloudfront.net/1c5eb6311f04d540fbb8179c2bcdf6d0/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/69397533.jpg
810 Catalpa Court,---,"810 Catalpa Court, Charlottesville, VA 22903","$1,349 - 1,675",1349,1675,"1,116 - 1,601 Sqrt ft.",1 - 3,1,3,Three Bedroom/ Three Bath (Terrace) - This three bedroom apartment features 10 foot ceilings and large windows for an abundance of light.  The large master suite features a his and her closet and the master bath features a large vanity and a large soaking tub.  ,1 - 5,(434) 293-9000,1.5 miles from Grounds,//d15yd2pup8u1d3.cloudfront.net/2cac276803f1ab2233f7aad5d9a6ddfe/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/47913787.jpg
1121 Wertland Street,---,"1121 Wertland Street, Charlottesville, VA 22903","$1,295",1295,1295,"1,273 Sqrt ft.",---,[],[],1121 Wertland St - Apt 05 - Free Application Fees if you sign a lease within 24 hours of your tour.  Limited time offer.  Offer valid for full-time UVA students only.   ,1 - 5,(434) 977-9000,0.8 miles from Grounds,//d27ql944xr9meu.cloudfront.net/25f17d303f9c249301fa7209eb24eaea/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/63056406.jpg
