Apartment,Unit Name,Price,Size,Bedrooms,Bathrooms
326 10th St NW,326 10th St NW - Apt #B (upper unit),"$1,300",616 Sq Ft,1,1.5
1029 Wertland Street,1029 Wertland Street Apt 103,"$1,775",770 Sq Ft,2,2.5
1029 Wertland Street,1029 Wertland Street Apt 206,"$2,100",1085 Sq Ft,3,2.5
117 13th St NW,117 13th St NW Apt #B3,$775,---,1,1.5
117 13th St NW,117 13th St NW Apt #B4,$825,---,1,1.5
109 Piedmont Ave N,109 Piedmont Ave N Apt #B,$975,600 Sq Ft,1,1.5
1107 Wertland Street,1107 Wertland Street Apt 03,"$1,995",1857 Sq Ft,2,2.5
604 15th St NW,604 15th St NW Apt #B,$995,---,2,1.5
Beacon on 5th,Afton,"$1,309 - 1,349",675 Sq Ft,1,1
Beacon on 5th,Berkmar,"$1,449 - 1,549",881 Sq Ft,1,1
Beacon on 5th,Ivy,"$1,609 - 1,719",1150 Sq Ft,2,2
Beacon on 5th,Rawlins,"$1,999 - 2,200",1713 Sq Ft,2,2
Beacon on 5th,Ednam,"$1,799 - 1,899",1222 Sq Ft,3,3.5
Beacon on 5th,Keswick,"$1,999 - 2,200",1634 Sq Ft,3,3.5
Beacon on 5th,Levy,"$1,799 - 1,899",1394 Sq Ft,3,2.5
Beacon on 5th,Shadwell,"$2,059 - 2,299",1733 Sq Ft,3,2.5
Barracks West Townhomes,1A,"$1,000 - 1,390",512 Sq Ft,1,1
Barracks West Townhomes,1B,"$1,093",726 Sq Ft,1,1
Barracks West Townhomes,1C,"$1,099",757 Sq Ft,1,1
Barracks West Townhomes,1D,$---,---,1,1
Barracks West Townhomes,EF,"$917 - 1,197",459 Sq Ft,1,1
Barracks West Townhomes,2A,"$1,120 - 1,485",740 Sq Ft,2,1
Barracks West Townhomes,2B,"$1,252",783 Sq Ft,2,1
Barracks West Townhomes,2C,$---,---,2,1
Barracks West Townhomes,2D,"$1,289",891 Sq Ft,2,1
Barracks West Townhomes,2E,"$1,311",891 Sq Ft,2,1
Barracks West Townhomes,2TH,"$1,100 - 1,315",940 Sq Ft,2,1.5
Barracks West Townhomes,2TM,"$1,355 - 1,480",1062 Sq Ft,2,1.5
Barracks West Townhomes,2TN,"$1,345",1006 Sq Ft,2,1.5
Barracks West Townhomes,3AR,"$1,419 - 1,959",950 Sq Ft,3,2
Barracks West Townhomes,3B,"$1,502 - 1,852",1048 Sq Ft,3,2
Barracks West Townhomes,3TH,"$1,470 - 1,825",1176 Sq Ft,3,2.5
Barracks West Townhomes,3TN,"$1,686",1358 Sq Ft,3,2.5
1300 Wertland St,1300 Wertland St Apt #C2,$825,---,1,1.5
10 University Circle,10 University Circle Apt 19,"$1,250",883 Sq Ft,1,1.5
116 Howard Drive,116 Howard Drive #2,$750,350 Sq Ft,1,1.5
116 Howard Drive,116 Howard Drive #3,$845,802 Sq Ft,1,1.5
